{'data': {'num_labeled': 250}, 'steps': {'updates': 1024, 'epochs': 250, 'test_epoch': 10}, 'hp': {'bs': 64, 'wd': 0.0005, 'lr': 0.03}, 'ref': {'threshold': 0.95, 'τ': 0.333, 'μ': 7, 'α': 0.05, 'order': 2, 'particles': 4}, 'seed': 0, 'num_workers': 4}
Files already downloaded and verified
{'epoch': 0, 'test_acc': 10.04, 'test_loss': 4.225, 'ema_test_acc': 10.04, 'ema_test_loss': 4.225, 'particle_accs': [10.01, 9.56, 10.0, 10.19]}
{'epoch': 40, 'ce_loss': 0.0023301655574804172, 'loss': 0.46654636477678285, 'H_y': 0.22895156828830435, 'H_yx': 0.42418732738098675, 'masks': 1630.1114369501465}
{'epoch': 40, 'test_acc': 85.11, 'test_loss': 0.927, 'ema_test_acc': 88.39, 'ema_test_loss': 0.948, 'particle_accs': [77.27, 78.78, 78.53, 76.02]}
{'epoch': 41, 'ce_loss': 0.0022007832831327963, 'loss': 0.465391341775277, 'H_y': 0.2299677807098493, 'H_yx': 0.4233262305851673, 'masks': 1632.1133919843596}
{'epoch': 42, 'ce_loss': 0.0022886092757793677, 'loss': 0.46369973594142544, 'H_y': 0.22710819720114897, 'H_yx': 0.4216011385938639, 'masks': 1632.5112414467253}
{'epoch': 43, 'ce_loss': 0.00249333500592015, 'loss': 0.4635064176858229, 'H_y': 0.2277896264140091, 'H_yx': 0.4212813050807513, 'masks': 1634.1065493646138}
{'epoch': 44, 'ce_loss': 0.002215081952014334, 'loss': 0.46554730096986685, 'H_y': 0.22990234720567104, 'H_yx': 0.4234489114811227, 'masks': 1637.0439882697947}
{'epoch': 45, 'ce_loss': 0.002362194229809536, 'loss': 0.4636308489365545, 'H_y': 0.22911246043729175, 'H_yx': 0.4215746780935737, 'masks': 1636.5298142717497}
{'epoch': 46, 'ce_loss': 0.0024286860223535055, 'loss': 0.45827968991047474, 'H_y': 0.22757028738074989, 'H_yx': 0.41668067702100425, 'masks': 1637.3264907135874}
{'epoch': 47, 'ce_loss': 0.002306810215696436, 'loss': 0.45933679713415143, 'H_y': 0.22794207709159553, 'H_yx': 0.41774751256171794, 'masks': 1638.97165200391}
{'epoch': 48, 'ce_loss': 0.002144135922465014, 'loss': 0.4589144223654608, 'H_y': 0.22831218754499422, 'H_yx': 0.41753511586729963, 'masks': 1640.565982404692}
{'epoch': 49, 'ce_loss': 0.0023481638715742996, 'loss': 0.45854212720955806, 'H_y': 0.23301535908893872, 'H_yx': 0.4172578599970362, 'masks': 1639.1554252199414}
{'epoch': 50, 'ce_loss': 0.0022054212590147337, 'loss': 0.4569682057651956, 'H_y': 0.23287262492981592, 'H_yx': 0.4159782448763488, 'masks': 1641.6265884652983}
{'epoch': 50, 'test_acc': 85.85, 'test_loss': 0.853, 'ema_test_acc': 89.15, 'ema_test_loss': 0.824, 'particle_accs': [82.2, 79.37, 78.64, 72.28]}
{'epoch': 51, 'ce_loss': 0.0023399733322793342, 'loss': 0.4510270402286992, 'H_y': 0.23807113031371482, 'H_yx': 0.41083618273133754, 'masks': 1643.3088954056695}
{'epoch': 52, 'ce_loss': 0.002003938920108094, 'loss': 0.45441347820900985, 'H_y': 0.2330373020611434, 'H_yx': 0.413894183737092, 'masks': 1644.7145650048876}
{'epoch': 53, 'ce_loss': 0.0020877716712559, 'loss': 0.4503823095752347, 'H_y': 0.23847116955272846, 'H_yx': 0.4105071827754713, 'masks': 1645.092864125122}
{'epoch': 54, 'ce_loss': 0.0026542995346847554, 'loss': 0.45525387885050805, 'H_y': 0.2369903107833769, 'H_yx': 0.41426079938022503, 'masks': 1644.394916911046}
{'epoch': 55, 'ce_loss': 0.0018679636794541414, 'loss': 0.4519741198417611, 'H_y': 0.23546624005947878, 'H_yx': 0.4119676665301896, 'masks': 1648.225806451613}
{'epoch': 56, 'ce_loss': 0.0020754934939110547, 'loss': 0.45301246482838864, 'H_y': 0.23643013833496693, 'H_yx': 0.41275454945461726, 'masks': 1648.3313782991202}
{'epoch': 57, 'ce_loss': 0.001921638094463098, 'loss': 0.449442595971761, 'H_y': 0.23405336209173194, 'H_yx': 0.409598493884852, 'masks': 1650.3988269794722}
{'epoch': 58, 'ce_loss': 0.002390438557517949, 'loss': 0.4516363538080646, 'H_y': 0.23444978987483103, 'H_yx': 0.4111519942418804, 'masks': 1650.2072336265885}
{'epoch': 59, 'ce_loss': 0.0017368761058648417, 'loss': 0.4495258844318278, 'H_y': 0.23266205608203847, 'H_yx': 0.4097672555511881, 'masks': 1651.384164222874}
{'epoch': 60, 'ce_loss': 0.0022750580260137696, 'loss': 0.45222468025989665, 'H_y': 0.23319599616504252, 'H_yx': 0.41171497887297226, 'masks': 1650.3880742913002}
{'epoch': 60, 'test_acc': 87.99, 'test_loss': 0.698, 'ema_test_acc': 89.66, 'ema_test_loss': 0.753, 'particle_accs': [83.27, 82.81, 81.46, 74.32]}
{'epoch': 61, 'ce_loss': 0.0021859948667899815, 'loss': 0.45133234337627715, 'H_y': 0.231881145755683, 'H_yx': 0.41093503616072913, 'masks': 1652.6089931573802}
{'epoch': 62, 'ce_loss': 0.001982700888679027, 'loss': 0.4485358353758837, 'H_y': 0.23211078530765583, 'H_yx': 0.4086408633174318, 'masks': 1653.8690127077223}
{'epoch': 63, 'ce_loss': 0.0020959277870565597, 'loss': 0.4457007345624217, 'H_y': 0.2305939487115146, 'H_yx': 0.40594363040704995, 'masks': 1653.9667644183774}
{'epoch': 64, 'ce_loss': 0.002097193577215469, 'loss': 0.4418047635378143, 'H_y': 0.23648413035468738, 'H_yx': 0.40277306320380607, 'masks': 1655.8582600195502}
{'epoch': 65, 'ce_loss': 0.002000076514293265, 'loss': 0.44406855639474485, 'H_y': 0.23266976918817614, 'H_yx': 0.40468145637451614, 'masks': 1655.2922776148582}
{'epoch': 66, 'ce_loss': 0.002226085521274848, 'loss': 0.4441385616713139, 'H_y': 0.230645786209773, 'H_yx': 0.4044415530396347, 'masks': 1655.5171065493646}
{'epoch': 67, 'ce_loss': 0.001956064725463351, 'loss': 0.4454878260721093, 'H_y': 0.23153577511902546, 'H_yx': 0.40592577517440476, 'masks': 1658.7165200391007}
{'epoch': 68, 'ce_loss': 0.0018906572720840803, 'loss': 0.4421005354773614, 'H_y': 0.23250155328597258, 'H_yx': 0.40302054273767557, 'masks': 1657.2922776148582}
{'epoch': 69, 'ce_loss': 0.0020893165041506005, 'loss': 0.4431833664168361, 'H_y': 0.22946525764954753, 'H_yx': 0.4036548532698511, 'masks': 1657.898338220919}
{'epoch': 70, 'ce_loss': 0.001899756555712128, 'loss': 0.44345268379907804, 'H_y': 0.23015867709705673, 'H_yx': 0.40409751756449946, 'masks': 1659.9687194525904}
{'epoch': 70, 'test_acc': 87.62, 'test_loss': 0.694, 'ema_test_acc': 90.12, 'ema_test_loss': 0.718, 'particle_accs': [82.48, 82.03, 85.45, 69.48]}
{'epoch': 71, 'ce_loss': 0.0020151384763516657, 'loss': 0.4404266136074812, 'H_y': 0.2283565034381572, 'H_yx': 0.40121430980145406, 'masks': 1659.7820136852395}
{'epoch': 72, 'ce_loss': 0.0018744840537954033, 'loss': 0.4392687036844293, 'H_y': 0.22575571796586436, 'H_yx': 0.40017981750058523, 'masks': 1659.4027370478984}
{'epoch': 73, 'ce_loss': 0.002196833809581401, 'loss': 0.44549540273721383, 'H_y': 0.2235624414385239, 'H_yx': 0.40531977504229616, 'masks': 1660.2248289345064}
{'epoch': 74, 'ce_loss': 0.002001450200129057, 'loss': 0.43919517249888573, 'H_y': 0.22580186268159955, 'H_yx': 0.40000385940366245, 'masks': 1661.338220918866}
{'epoch': 75, 'ce_loss': 0.0016136756756933795, 'loss': 0.43499994406136133, 'H_y': 0.22997829025267155, 'H_yx': 0.3968274325918942, 'masks': 1663.197458455523}
{'epoch': 76, 'ce_loss': 0.0016444025531007246, 'loss': 0.43486397412631983, 'H_y': 0.22999079685698273, 'H_yx': 0.3966798447618736, 'masks': 1662.7605083088954}
{'epoch': 77, 'ce_loss': 0.001890039296676215, 'loss': 0.4392661841209333, 'H_y': 0.22913439002321379, 'H_yx': 0.40033267993381644, 'masks': 1663.4291300097752}
{'epoch': 78, 'ce_loss': 0.0018250885180102407, 'loss': 0.43746285712963673, 'H_y': 0.228892879606109, 'H_yx': 0.39877499600659366, 'masks': 1663.6432062561096}
{'epoch': 79, 'ce_loss': 0.0016326746078082798, 'loss': 0.4359089288776804, 'H_y': 0.22952858773028278, 'H_yx': 0.39759624365604285, 'masks': 1665.0645161290322}
{'epoch': 80, 'ce_loss': 0.002084787281229651, 'loss': 0.4397688547653653, 'H_y': 0.2250279905247199, 'H_yx': 0.4004011382571879, 'masks': 1663.9511241446726}
{'epoch': 80, 'test_acc': 88.3, 'test_loss': 0.607, 'ema_test_acc': 90.47, 'ema_test_loss': 0.682, 'particle_accs': [83.18, 82.67, 81.53, 73.84]}
{'epoch': 81, 'ce_loss': 0.001721831185578547, 'loss': 0.436209411273837, 'H_y': 0.2277004981699344, 'H_yx': 0.39769273087426016, 'masks': 1666.4310850439883}
{'epoch': 82, 'ce_loss': 0.0017444051078851356, 'loss': 0.4374057875467302, 'H_y': 0.22551463117580842, 'H_yx': 0.3986270781952382, 'masks': 1665.7996089931573}
{'epoch': 83, 'ce_loss': 0.0016340502456770808, 'loss': 0.43394129792499636, 'H_y': 0.22596192239025353, 'H_yx': 0.39566724417496285, 'masks': 1667.0987292277614}
{'epoch': 84, 'ce_loss': 0.0015294610653789806, 'loss': 0.43603756744141453, 'H_y': 0.22446915009154603, 'H_yx': 0.3975494135451573, 'masks': 1669.0312805474096}
